Date,Close/Last,Volume,Open,High,Low
11/29/2022,$109.46,23899240,$109.54,$110.94,$108.5437
11/28/2022,$108.78,23332820,$110.78,$112.04,$108.38
11/25/2022,$111.41,12007570,$111.3,$112.73,$111.02
11/23/2022,$112.24,21343080,$111.72,$112.67,$110.73
11/22/2022,$111.44,29028960,$109.86,$111.62,$108.3216
11/21/2022,$109.86,24351070,$111.52,$112.3699,$109.19
11/18/2022,$112.05,33357710,$113.8,$114.32,$110.62
11/17/2022,$111.45,35093820,$110.41,$112.33,$109.8
11/16/2022,$113.23,33287770,$114.5,$116.075,$112.66
11/15/2022,$117.08,50670500,$116.07,$118.74,$114.4116
11/14/2022,$114.22,53394970,$110.99,$116.27,$110.8
11/11/2022,$113.02,59961740,$109.23,$114.9,$108.81
11/10/2022,$111.87,80670960,$107.12,$112.75,$104.61
11/09/2022,$101.47,107677300,$101.72,$104.9,$100.74
11/08/2022,$96.47,52088320,$95.92,$97.8,$94.79
11/07/2022,$96.72,81987300,$94.78,$96.88,$93.1
11/04/2022,$90.79,55638060,$90.35,$91.39,$88.09
11/03/2022,$88.91,60664010,$90.08,$90.4576,$88.41
11/02/2022,$90.54,71821060,$94.205,$95.2,$90.48
11/01/2022,$95.2,110189600,$94.33,$97.49,$93.55
10/31/2022,$93.16,121361400,$98.22,$99.32,$92.6
10/28/2022,$99.2,95928310,$99.58,$100.85,$97.51
10/27/2022,$97.94,232316600,$97.975,$102.5,$96.38
10/26/2022,$129.82,89294680,$131.68,$135.55,$128.53
10/25/2022,$137.51,38433220,$130.875,$138.35,$130.59
10/24/2022,$129.72,63563450,$127.25,$133.48,$124.57
10/21/2022,$130.01,46348650,$126.31,$130.12,$125.44
10/20/2022,$131.53,26356280,$132.93,$136.77,$131.31
10/19/2022,$133.23,30691050,$132.89,$137,$132.22
10/18/2022,$132.8,25444980,$137.085,$137.8399,$131.4
10/17/2022,$134.04,29612250,$130.3,$134.79,$130.18
10/14/2022,$126.76,23559410,$131,$131.79,$126.52
10/13/2022,$130.29,34325720,$123.53,$131.14,$122.5301
10/12/2022,$127.5,34605250,$128.32,$129.67,$126.25
10/11/2022,$128.54,38481400,$131.62,$132.66,$126.99
10/10/2022,$133.79,24023980,$133.55,$136.11,$131.87
10/07/2022,$133.45,33214770,$136.76,$138.29,$132.44
10/06/2022,$139.07,36231060,$137.715,$141.45,$136.6
10/05/2022,$138.98,27979350,$138.24,$140.21,$134.78
10/04/2022,$140.28,34670730,$140.49,$142.3901,$139.34
10/03/2022,$138.61,27723060,$137.14,$139.62,$136.1
09/30/2022,$135.68,33166390,$136.05,$140.99,$135.5
09/29/2022,$136.41,38985410,$139.36,$139.84,$135.2
09/28/2022,$141.61,32658480,$134.62,$142.03,$134.27
09/27/2022,$134.4,30826470,$137.92,$139.42,$134.1201
09/26/2022,$136.37,30497020,$140.12,$142.24,$136.19
09/23/2022,$140.41,31710690,$141.42,$142.62,$138.89
09/22/2022,$142.82,34418520,$141.55,$144.58,$140.87
09/21/2022,$142.12,38338610,$146.39,$149.6,$142
09/20/2022,$146.09,23217350,$145.775,$148.84,$145.22
09/19/2022,$148.02,22169480,$145.235,$148.58,$145.1
09/16/2022,$146.29,40122820,$148.05,$148.58,$144.2935
09/15/2022,$149.55,34606350,$149.8,$154.1984,$148.7
09/14/2022,$151.47,43064200,$153.33,$153.54,$149.05
09/13/2022,$153.13,44444060,$161.54,$161.63,$152.67
09/12/2022,$168.96,23220410,$167.39,$171.39,$167.28
09/09/2022,$169.15,22129800,$163.248,$169.54,$163.02
09/08/2022,$162.06,22530790,$158.71,$162.23,$157.74
09/07/2022,$160.39,16831180,$157.76,$160.955,$156.81
09/06/2022,$158.54,19339780,$160.1,$161.69,$157.69
09/02/2022,$160.32,22634190,$167.45,$167.93,$159.22
09/01/2022,$165.36,30145680,$163.58,$167.3599,$160.345
08/31/2022,$162.93,40952980,$167.07,$167.84,$162.14
08/30/2022,$157.16,19567950,$160.355,$161.66,$155.91
08/29/2022,$159.17,20052660,$160.655,$163.05,$159.01
08/26/2022,$161.78,24023630,$168.48,$170.92,$161.6726
08/25/2022,$168.78,15550510,$165.18,$168.88,$164.02
08/24/2022,$163.26,20891480,$160.6,$165.46,$159.77
08/23/2022,$161.11,18111780,$162.48,$165.05,$160.7
08/22/2022,$163.05,19499710,$165.49,$165.49,$162.26
08/19/2022,$167.96,26240800,$170.2,$172.32,$167.05
08/18/2022,$174.66,18844450,$174.34,$175.76,$171.86
08/17/2022,$174.85,20118130,$176.76,$178.14,$174.17
08/16/2022,$179.47,21156710,$179.44,$180.99,$177.035
08/15/2022,$180.89,15878670,$178.96,$181.44,$178.2
08/12/2022,$180.5,21274050,$180.81,$181.4572,$178.911
08/11/2022,$177.49,24079060,$179.71,$183.1,$176.37
08/10/2022,$178.34,30262130,$175.99,$180.48,$173.95
08/09/2022,$168.53,18655060,$168.95,$169.53,$166.6
08/08/2022,$170.25,27299110,$168,$177.51,$167.13
08/05/2022,$167.11,25832700,$166.99,$171.612,$165.8
08/04/2022,$170.57,23938210,$168.295,$172.15,$166.8
08/03/2022,$168.8,31717530,$162.69,$169.54,$161.57
08/02/2022,$160.19,27374520,$158.31,$162.24,$158.01
08/01/2022,$159.93,40596700,$157.25,$165.19,$155.2301
07/29/2022,$159.1,42065400,$157.69,$160.14,$155.17
07/28/2022,$160.72,73214330,$161.06,$161.51,$154.85
07/27/2022,$169.58,43846560,$162.59,$170.87,$162.02
07/26/2022,$159.15,28468420,$165.94,$166,$157.95
07/25/2022,$166.65,26166330,$169,$170.57,$164.805
07/22/2022,$169.27,42583920,$173.07,$175.5995,$168.41
07/21/2022,$183.17,27195820,$180.63,$183.85,$178.87
07/20/2022,$183.09,24784270,$177.485,$183.6,$176.7
07/19/2022,$175.78,25933680,$170.37,$176.49,$169.51
07/18/2022,$167.23,23574340,$166.75,$171.685,$165.64
07/15/2022,$164.7,23342810,$160.54,$164.98,$159.82
07/14/2022,$158.05,23765170,$161.22,$162.59,$157.2801
07/13/2022,$163.49,16555140,$160.16,$164.98,$159.6127
07/12/2022,$163.27,16639660,$164.8,$165.9107,$162.1
07/11/2022,$162.88,21905130,$167.065,$167.49,$161.91
07/08/2022,$170.88,19249240,$169.98,$172.4,$168.1501
07/07/2022,$172.19,24083370,$169.45,$172.72,$167.78
07/06/2022,$169.77,23085920,$168.2,$171.59,$165.46
07/05/2022,$168.19,28664800,$158.14,$168.25,$157.02
07/01/2022,$160.03,31423930,$160.31,$160.62,$155
06/30/2022,$161.25,35250610,$162.15,$165.23,$158.49
06/29/2022,$163.94,28595240,$163.57,$166.33,$160.32
06/28/2022,$160.68,27788730,$169.9,$171.3,$160.61
06/27/2022,$169.49,29174560,$171.32,$171.75,$168.01
06/24/2022,$170.16,68736010,$161.725,$170.25,$161.3
06/23/2022,$158.75,40499200,$156.27,$159.75,$154.25
06/22/2022,$155.85,47596820,$158.38,$160.79,$155.44
06/21/2022,$157.05,50724900,$165.93,$167.76,$155.97
06/17/2022,$163.74,31374220,$161.68,$165.9,$159.9
06/16/2022,$160.87,26944140,$163.72,$165.08,$159.61
06/15/2022,$169.35,30008250,$167.2,$172.16,$163.975
06/14/2022,$163.73,27244270,$166.03,$166.75,$161.3601
06/13/2022,$164.26,31749300,$170.59,$172.575,$164.03
06/10/2022,$175.57,27478350,$183.04,$183.1,$175.02
06/09/2022,$184,23501580,$194.28,$199.45,$183.68
06/08/2022,$196.64,22267150,$194.67,$202.03,$194.41
06/07/2022,$195.65,18828690,$191.93,$196.53,$191.49
06/06/2022,$194.25,30574240,$193.99,$196.92,$188.4
06/03/2022,$190.78,19464990,$195.98,$196.61,$189.78
06/02/2022,$198.86,31951580,$188.45,$200.935,$187.73
06/01/2022,$188.64,36623500,$196.51,$199.53,$185
05/31/2022,$193.64,26131100,$194.885,$197.6,$192.01
