Date,Close/Last,Volume,Open,High,Low
11/29/2022,$280.96,5786874,$282.5,$282.96,$275.94
11/28/2022,$281.17,4707049,$284,$289.55,$280.53
11/25/2022,$285.54,3235953,$289,$289.21,$284.17
11/23/2022,$291.5,5918988,$285.91,$292.47,$283.76
11/22/2022,$286.69,6245119,$284.99,$286.98,$277.34
11/21/2022,$285.05,7256507,$291,$291.87,$282.66
11/18/2022,$287.98,8400108,$297.33,$298,$287
11/17/2022,$295.28,9838220,$294.72,$299.82,$291
11/16/2022,$306.02,8038556,$309.94,$310.49,$303.61
11/15/2022,$310.2,14626930,$309.2,$312.71,$302.55
11/14/2022,$299.27,17973400,$290,$311,$288.19
11/11/2022,$290.13,9573834,$274.47,$290.66,$271.5577
11/10/2022,$274.97,9667323,$265.99,$275.36,$260.0901
11/09/2022,$254.66,7265994,$259.66,$260.9,$254.2202
11/08/2022,$263.46,7683826,$259.92,$266.08,$256.8801
11/07/2022,$258.6,7927033,$261.06,$261.155,$252.09
11/04/2022,$260.79,11124690,$272.02,$274.97,$255.32
11/03/2022,$269.06,7057350,$271.25,$276.29,$268.8
11/02/2022,$273,10367620,$286.4,$287.33,$272.84
11/01/2022,$286.75,6916424,$296.17,$299.7,$286.42
10/31/2022,$291.88,7505133,$295.13,$297.6199,$289.5
10/28/2022,$295.72,9960547,$297.7,$301.19,$292.2924
10/27/2022,$296.94,14612590,$298.33,$305.21,$294.78
10/26/2022,$298.62,15749250,$290.04,$305.63,$288.04
10/25/2022,$291.02,15100720,$286.95,$297.59,$285.5501
10/24/2022,$282.45,13326420,$290.23,$290.49,$280.36
10/21/2022,$289.57,24889060,$268.95,$290.75,$265.68
10/20/2022,$268.16,17207100,$272.78,$278.3755,$266.38
10/19/2022,$272.38,46685260,$265,$279.3,$262.66
10/18/2022,$240.86,25776730,$249.8,$250.37,$237.73
10/17/2022,$245.1,21057820,$234.41,$249.9221,$234.4
10/14/2022,$230,15293400,$237.8,$238.8,$229.51
10/13/2022,$232.51,17505010,$212.69,$234.47,$211.73
10/12/2022,$220.87,12952640,$214.3,$223.67,$212.64
10/11/2022,$214.29,15282410,$226.05,$230.44,$213.7
10/10/2022,$229.98,9991145,$225.64,$233.83,$224.23
10/07/2022,$224.75,9806128,$235.77,$237.33,$224.28
10/06/2022,$240.02,9188940,$236.68,$244.28,$233.9101
10/05/2022,$236.73,10825630,$238.76,$241.59,$227.38
10/04/2022,$240.74,13925850,$244.84,$245.7999,$233.25
10/03/2022,$239.04,8657443,$237.85,$241.54,$232.85
09/30/2022,$235.44,11848610,$237,$242.44,$233.26
09/29/2022,$239.71,18994940,$241.61,$246.98,$235.68
09/28/2022,$245.2,17579670,$229.69,$246.65,$227.38
